sender_code,sender_point_id,recipient_point_id,MIN,MAX
216,302507,31600,19.0,19.0
26192,760205,773008,0.0,28.0
2552,781409,832808,6.0,6.0
216,635607,31600,14.0,14.0
26192,864207,865208,551.0,551.0
216,252401,302507,25.0,25.0
144,592204,530000,3.0,3.0
2552,781409,831203,110.0,110.0
26084,700007,302507,28.0,28.0
144,511404,592204,17.0,17.0
26192,874001,864207,19.0,19.0
8804,238601,183502,124.0,124.0
156,950008,243607,3.0,3.0
2552,722504,780800,47.0,47.0
2552,781409,651008,11.0,11.0
216,190900,302507,3.0,3.0
36612,722203,625200,3.0,3.0
216,781701,302507,36.0,36.0
144,601507,592204,22.0,22.0
39684,523505,520102,0.0,28.0
31820,280505,247206,6.0,6.0
216,176405,302507,11.0,11.0
36612,696403,302600,3.0,3.0
144,592204,235209,33.0,33.0
26192,843200,864207,14.0,14.0
31820,587704,924501,8.0,8.0
2552,650005,782308,99.0,99.0
156,798400,243607,124.0,124.0
39684,625107,635607,19.0,19.0
216,140808,302507,6.0,6.0
144,592204,543509,3.0,3.0
31820,795401,924501,74.0,74.0
216,230600,302507,3.0,3.0
2552,781409,890108,22.0,22.0
36612,843906,625200,11.0,11.0
216,16308,302507,8.0,8.0
13788,985702,864809,0.0,276.0
39684,651807,625107,6.0,22.0
216,620103,302507,14.0,14.0
216,164304,302507,6.0,6.0
216,302507,290009,22.0,22.0
144,592204,760900,3.0,3.0
2552,510007,780800,6.0,6.0
39684,625107,194403,28.0,28.0
26192,817600,864902,138.0,138.0
1196,831203,805800,55.0,55.0
144,613608,592204,551.0,551.0
31820,887603,967808,83.0,83.0
144,592204,641608,61.0,61.0
2552,208108,782308,3.0,3.0
26192,597104,770005,14.0,14.0
216,860206,302507,17.0,17.0
216,698502,302507,3.0,3.0
216,538708,302507,6.0,6.0
2552,761104,780800,8.0,8.0
156,511508,243607,3.0,8.0
216,625605,302507,14.0,14.0
216,435501,302600,41.0,83.0
39684,794305,625107,3.0,11.0
36612,591201,625200,8.0,8.0
26192,199801,770005,28.0,28.0
26192,35508,770005,61.0,61.0
2552,781409,932902,3.0,3.0
216,780707,302507,6.0,6.0
26192,510007,864207,25.0,25.0
156,797801,243607,85.0,85.0
8804,183502,235507,25.0,25.0
26192,230600,770005,28.0,28.0
26192,511404,770005,14.0,14.0
216,302507,255908,3.0,3.0
8804,183502,310700,105.0,105.0
216,636807,302507,3.0,3.0
144,140403,592204,135.0,135.0
39684,625107,183606,83.0,83.0
156,30006,243607,25.0,25.0
2552,812005,782308,25.0,25.0
